,GEOID,City,total,total_workforce,total_income,pct_of_wf_in_weapons,estimated_income_from_weapons
97,4850256,Nacogdoches,16,16297,717649500,0.0009817757869546543,704570.9026201142
98,4805372,Balch Springs,15,13336,557249900,0.0011247750449910018,626780.7813437312
99,4815976,College Station,15,59768,3337706900,0.00025097041895328606,837665.6990362736
100,4803342,Annetta South,15,409,38945800,0.03667481662591687,1428330.0733496333
101,4876000,Waco,15,65110,3344901400,0.00023037935800952235,770596.2371371525
102,4867496,Sherman,15,21343,1141488200,0.0007028065407862062,802245.3731902732
103,4863782,Runaway Bay,15,766,68631100,0.0195822454308094,1343951.044386423
104,4819924,Dennis,14,398,42678800,0.035175879396984924,1501264.3216080402
105,4839148,Killeen,14,74529,3743196200,0.00018784634169249554,703145.7124072509
106,4850100,Murphy,13,10483,930597300,0.0012401030239435277,1154036.5258036822
107,4839928,Krum,13,3148,186045200,0.004129606099110546,768293.3926302413
108,4871156,Sunnyvale,13,4251,407037300,0.0030581039755351682,1244762.385321101
109,4872176,Temple,13,36743,2361011000,0.0003538088887679286,835346.6782788559
110,4809640,Bowie,13,2257,134403000,0.0057598582188746125,774142.2241914045
111,4877490,Western Lake,13,650,22937500,0.02,458750.0
112,4826604,Forney,12,12530,771012500,0.0009577015163607343,738399.8403830806
113,4801240,Addison,12,11502,845052700,0.0010432968179447052,881640.7929055816
114,4802260,Alvarado,12,1995,105412800,0.006015037593984963,634061.9548872181
115,4847496,Melissa,12,6987,541336900,0.0017174753112924003,929732.760841563
116,4803300,Anna,12,8489,497991500,0.0014135940629049358,703957.8277771233
117,4833476,Hickory Creek,12,3359,214903400,0.003572491813039595,767740.6370943733
118,4813684,Celina,11,8665,819966600,0.0012694748990190422,1040927.0167339874
119,4872581,The Homesteads,11,1526,68166200,0.007208387942332897,491368.4141546527
120,4854444,Ovilla,11,1878,172051800,0.005857294994675187,1007758.1469648563
121,4854872,Paloma Creek South,11,4266,296503800,0.0025785278949835913,764543.3192686357
122,4843888,Longview,11,39366,2389503900,0.0002794289488390997,667696.5630239293
123,4819084,Dalworthington Gardens,11,1225,154324400,0.008979591836734694,1385770.1224489796
124,4874144,Tyler,10,52941,3295933200,0.00018888951852061729,622567.2352241174
125,4859576,Princeton,10,9061,524773500,0.0011036309458117206,579156.2741419269
126,4845072,Lufkin,10,16076,817575800,0.0006220452848967405,508569.17143568053
127,4835528,Huntsville,10,17605,759947800,0.0005680204487361545,431665.89037205337
128,4852212,Northlake,9,3101,238790200,0.0029022895840051595,693038.3102225089
129,4874492,University Park,9,11319,2657626000,0.0007951232441028359,2113140.2067320435
130,4819900,Denison,9,11402,623632900,0.000789335204350114,492255.4025609542
131,4877788,Westover Hills,9,252,129900100,0.03571428571428571,4639289.285714285
132,4871540,Sweetwater,9,4843,229345000,0.001858352260995251,426203.7992979558
133,4879000,Wichita Falls,9,51976,2711128500,0.00017315684161920886,469450.44828382327
134,4866428,Seagoville,9,7424,380782500,0.0012122844827586207,461616.7160560345
135,4804600,Aubrey,8,2879,169870400,0.0027787426189649182,472026.12018061825
136,4804672,Aurora,8,668,52823900,0.011976047904191617,632621.5568862276
137,4810264,Bridgeport,8,2887,145343000,0.0027710426047800486,402751.6453065466
138,4865408,Sanger,8,4798,282427100,0.0016673614005835765,470908.0450187578
139,4802284,Alvord,8,561,30866600,0.0142602495543672,440165.4188948306
140,4840516,Lake Dallas,7,4134,245299000,0.0016932752781809385,415358.73246250604
141,4825572,Fate,7,8912,664870400,0.0007854578096947936,522227.64811490127
142,4829876,Glen Rose,7,1295,88924500,0.005405405405405406,480672.972972973
143,4817060,Corsicana,7,11544,541627700,0.0006063756063756063,328429.825017325
144,4832984,Heath,7,4302,860919100,0.0016271501627150163,1400844.6536494654
145,4816540,Cool,7,71,4077600,0.09859154929577464,402016.9014084507
146,4819528,Decatur,7,3344,251972600,0.0020933014354066986,527454.6052631579
147,4859748,Providence Village,7,3704,242321700,0.0018898488120950325,457951.37688984885
148,4866000,Savannah,6,3494,304506400,0.0017172295363480253,522907.3840870063
149,4850920,New Fairview,6,725,40327000,0.008275862068965517,333740.6896551724
150,4848684,Mineral Wells,6,6841,349192200,0.00087706475661453,306264.1719046923
151,4810216,Briaroaks,6,319,31092500,0.018808777429467086,584811.9122257053
152,4830512,Grandview,6,895,54150800,0.0067039106145251395,363022.12290502794
153,4805768,Bartonville,6,811,121430600,0.007398273736128237,898376.8187422935
154,4858664,Ponder,6,1465,83299700,0.004095563139931741,341159.180887372
155,4828068,Galveston,6,26609,1786278000,0.0002254876169717013,402783.5694689767
156,4817917,Cross Timber,6,223,11759700,0.026905829596412557,316404.48430493276
157,4817000,Corpus Christi,5,156436,9488718800,3.196195249175382e-05,303277.9794932113
158,4864472,San Angelo,5,52681,3036942600,9.491087868491487e-05,288238.8906816499
159,4870208,Stephenville,5,10474,508707600,0.0004773725415314111,242843.03990834448
160,4812562,Canyon Creek,5,433,28472700,0.011547344110854504,328784.064665127
161,4871264,Sunset,5,246,12151100,0.02032520325203252,246973.57723577236
162,4860632,Ranger,5,1146,51002100,0.004363001745200698,222522.2513089005
163,4838332,Justin,5,2548,211125500,0.0019623233908948193,414296.50706436415
164,4863668,Royse City,5,7090,468708500,0.0007052186177715092,330541.9605077574
165,4810912,Bryan,5,41382,2285303500,0.00012082547967715432,276122.8915953796
166,4803000,Amarillo,5,99612,6106105300,5.0194755651929485e-05,306494.4635184516
167,4872392,Texas City,5,24851,1503546400,0.00020119914691561706,302512.25302804715
168,4863500,Round Rock,5,67741,4732631400,7.381054309797611e-05,349318.093916535
169,4848564,Millsap,5,173,10339500,0.028901734104046242,298829.4797687861
